yahoo,tv,name,exchange,epsTtm,peTtm,growth5y,rule,pegLynch,pass
HCA,NYSE:HCA,"HCA Healthcare, Inc.",NYSE,28.62,13.6242,20.8999,lynch_peg,0.651877,true
HCC,NYSE:HCC,"Warrior Met Coal, Inc.",NYSE,1.08,23.5072,-24.5839,pe15,-0.956205,false
HCSG,NASDAQ:HCSG,"Healthcare Services Group, Inc.",NASDAQ,0.82,12.5047,-9.0824,pe15,-1.37681,true
HD,NYSE:HD,"The Home Depot, Inc.",NYSE,14.27,23.9993,3.56033,pe15,6.74075,false
HDB,NYSE:HDB,HDFC Bank Limited,NYSE,468.57,14.1495,40.0977,lynch_peg,0.352875,true
HE,NYSE:HE,"Hawaiian Electric Industries, Inc.",NYSE,0.71,9.13077,-17.0692,pe15,-0.534927,true
HEI,NYSE:HEI,HEICO Corporation,NYSE,4.97,65.4037,16.359,lynch_peg,3.99802,false
HESM,NYSE:HESM,Hess Midstream LP,NYSE,2.87,13.9,16.6289,lynch_peg,0.835896,true
HFWA,NASDAQ:HFWA,Heritage Financial Corporation,NASDAQ,1.99,14.1792,9.05678,pe15,1.56559,true
HG,NYSE:HG,"Hamilton Insurance Group, Ltd.",NYSE,5.68,6.07313,32.5509,lynch_peg,0.186573,true
HGV,NYSE:HGV,Hilton Grand Vacations Inc.,NYSE,0.9,21.1372,-15.2566,pe15,-1.38545,false
HHH,NYSE:HHH,Howard Hughes Holdings Inc.,NYSE,2.11,13.5172,3.56533,pe15,3.79128,true
HIG,NYSE:HIG,"The Hartford Insurance Group, Inc.",NYSE,13.51,8.8155,23.045,lynch_peg,0.382534,true
HII,NYSE:HII,"Huntington Ingalls Industries, Inc.",NYSE,15.39,19.5065,-2.13091,pe15,-9.1541,false
HIMS,NYSE:HIMS,"Hims & Hers Health, Inc.",NYSE,0.57,-47.3443,,,,false
HIMX,NASDAQ:HIMX,"Himax Technologies, Inc.",NASDAQ,0.26,75.1511,-1.47123,pe15,-51.0804,false
HIW,NYSE:HIW,"Highwoods Properties, Inc.",NYSE,1.45,20.8882,-15.2683,pe15,-1.36807,false
HL,NYSE:HL,Hecla Mining Company,NYSE,0.49,37.43,66.0839,lynch_peg,0.566401,true
HLF,NYSE:HLF,Herbalife Nutrition Ltd.,NYSE,2.22,7.66875,-4.7394,pe15,-1.61808,true
HLI,NYSE:HLI,"Houlihan Lokey, Inc.",NYSE,6.4,21.2824,6.14445,pe15,3.46369,false
HLIO,NYSE:HLIO,"Helios Technologies, Inc.",NYSE,1.46,38.2593,-14.7368,pe15,-2.59617,false
HLMN,NASDAQ:HLMN,Hillman Solutions Corp.,NASDAQ,0.2,40.1192,,,,false
HLN,NYSE:HLN,Haleon plc,NYSE,0.36,19.4621,8.44718,pe15,2.30398,false
HLNE,NASDAQ:HLNE,Hamilton Lane Incorporated,NASDAQ,5.99,15.9291,16.2614,lynch_peg,0.979566,true
HLT,NYSE:HLT,Hilton Worldwide Holdings Inc.,NYSE,6.18,47.4709,12.3677,pe15,3.83828,false
HLX,NYSE:HLX,"Helix Energy Solutions Group, Inc.",NYSE,0.21,38.8889,10.0665,pe15,3.8632,false
HMH,NASDAQ:HMH,HMH Holding Inc. Class A Common Stock,NASDAQ,1.03,23.133,60.4681,lynch_peg,0.382565,true
HMN,NYSE:HMN,Horace Mann Educators Corporation,NYSE,3.93,12.1114,4.06563,pe15,2.97896,true
HMY,NYSE:HMY,Harmony Gold Mining Company Limited,NYSE,23.13,12.178,28.7407,lynch_peg,0.423719,true
HNI,NYSE:HNI,HNI Corporation,NYSE,1.13,1642.67,2.88936,pe15,568.522,false
HNRG,NASDAQ:HNRG,Hallador Energy Company,NASDAQ,0.98,466.142,21.5501,lynch_peg,21.6307,false
HOG,NYSE:HOG,"Harley-Davidson, Inc.",NYSE,2.82,16.7982,219.276,lynch_peg,0.0766076,true
HOMB,NYSE:HOMB,"Home Bancshares, Inc.",NYSE,2.41,12.9037,13.1396,pe15,0.982044,true
HON,NASDAQ:HON,Honeywell International Inc.,NASDAQ,14.8,9.06729,1.73547,pe15,5.22469,true
HONA,NASDAQ:HONA,Honeywell Aerospace Inc,NASDAQ,5.62,104.23,,,,false
HOOD,NASDAQ:HOOD,"Robinhood Markets, Inc.",NASDAQ,2.12,42.1797,262.219,lynch_peg,0.160857,true
HOPE,NASDAQ:HOPE,"Hope Bancorp, Inc.",NASDAQ,0.46,14.525,-12.5614,pe15,-1.15632,true
HPK,NASDAQ:HPK,"HighPeak Energy, Inc.",NASDAQ,0.13,-9.76923,-30.2739,pe15,0.322694,false
HPQ,NYSE:HPQ,HP Inc.,NYSE,2.67,11.1843,5.84322,pe15,1.91407,true
HQY,NASDAQ:HQY,"HealthEquity, Inc.",NASDAQ,2.5,39.0704,83.5489,lynch_peg,0.467635,true
HRB,NYSE:HRB,"H&R Block, Inc.",NYSE,5.71,9.12586,13.7373,pe15,0.664312,true
HRI,NYSE:HRI,Herc Holdings Inc.,NYSE,0.032,117.204,-58.2741,pe15,-2.01126,false
HRL,NYSE:HRL,Hormel Foods Corporation,NYSE,0.87,28.8529,-12.4358,pe15,-2.32015,false
HRMY,NASDAQ:HRMY,"Harmony Biosciences Holdings, Inc.",NASDAQ,2.76,12.1661,46.45,lynch_peg,0.261919,true
HRTG,NYSE:HRTG,"Heritage Insurance Holdings, Inc.",NYSE,6.33,4.75213,80.5419,lynch_peg,0.059002,true
HSAI,NASDAQ:HSAI,Hesai Group,NASDAQ,3.08,37.3866,,,,false
HSBC,NYSE:HSBC,HSBC Holdings plc,NYSE,6.05,14.7198,44.8126,lynch_peg,0.328474,true
HSHP,NYSE:HSHP,Himalaya Shipping Ltd.,NYSE,0.38,14.0575,211.35,lynch_peg,0.066513,true
HSIC,NASDAQ:HSIC,"Henry Schein, Inc.",NASDAQ,3.29,26.091,3.13103,pe15,8.33305,false
HST,NASDAQ:HST,"Host Hotels & Resorts, Inc.",NASDAQ,1.1,15.6361,-2.23794,pe15,-6.98682,false
HSTM,NASDAQ:HSTM,"HealthStream, Inc.",NASDAQ,0.61,40.232,6.75186,pe15,5.95865,false
HSY,NYSE:HSY,The Hershey Company,NYSE,4.4,24.7645,-6.41668,pe15,-3.85939,false
HTGC,NYSE:HTGC,"Hercules Capital, Inc.",NYSE,1.9,8.04569,-1.2174,pe15,-6.60891,true
HTH,NYSE:HTH,Hilltop Holdings Inc.,NYSE,2.64,14.7648,-10.4721,pe15,-1.40992,true
HTHT,NASDAQ:HTHT,H World Group Limited,NASDAQ,16.1,4.62538,17.2391,lynch_peg,0.268308,true
HTO,NASDAQ:HTO,H2O America,NASDAQ,2.93,22.1388,6.28764,pe15,3.521,false
HUBB,NYSE:HUBB,Hubbell Incorporated,NYSE,16.63,30.2643,20.8181,lynch_peg,1.45375,false
HUBG,NASDAQ:HUBG,"Hub Group, Inc.",NASDAQ,1.72,30.8,1.33058,pe15,23.1479,false
HUBS,NYSE:HUBS,"HubSpot, Inc.",NYSE,0.88,81.2332,,,,false
HUM,NYSE:HUM,Humana Inc.,NYSE,9.87,35.938,-17.271,pe15,-2.08083,false
HURN,NASDAQ:HURN,Huron Consulting Group Inc.,NASDAQ,6.02,22.5352,21.192,lynch_peg,1.06338,false
HWC,NASDAQ:HWC,Hancock Whitney Corporation,NASDAQ,5.71,15.5379,7.40278,pe15,2.09892,false
HWM,NYSE:HWM,Howmet Aerospace Inc.,NYSE,3.73,60.9529,50.6932,lynch_peg,1.20239,false
HXL,NYSE:HXL,Hexcel Corporation,NYSE,1.38,51.63,29.4253,lynch_peg,1.75461,false
IAG,NYSE:IAG,Iamgold Corporation,NYSE,1.18,9.33663,67.3123,lynch_peg,0.138706,true
IBKR,NASDAQ:IBKR,"Interactive Brokers Group, Inc.",NASDAQ,2.23,36.2134,29.597,lynch_peg,1.22355,false
IBM,NYSE:IBM,International Business Machines Corporation,NYSE,11.36,20.4253,12.5858,pe15,1.62288,false
IBN,NYSE:IBN,ICICI Bank Limited,NYSE,151.78,18.0717,22.7246,lynch_peg,0.795246,true
IBOC,NASDAQ:IBOC,International Bancshares Corporation,NASDAQ,6.63,11.0066,20.3127,lynch_peg,0.541857,true
IBP,NYSE:IBP,"Installed Building Products, Inc.",NYSE,9.76,26.1408,24.2188,lynch_peg,1.07936,false
IBTA,NYSE:IBTA,"Ibotta, Inc.",NYSE,0.13,-83.2974,-67.8792,pe15,1.22714,false
ICE,NYSE:ICE,"Intercontinental Exchange, Inc.",NYSE,5.8,21.6118,8.88242,pe15,2.4331,false
ICFI,NASDAQ:ICFI,"ICF International, Inc.",NASDAQ,4.98,18.3795,11.2677,pe15,1.63116,false
ICL,NYSE:ICL,ICL Group Ltd,NYSE,0.18,22.9749,57.2846,lynch_peg,0.401066,true
ICLR,NASDAQ:ICLR,ICON Public Limited Company,NASDAQ,2.92,38.3414,-14.2278,pe15,-2.69482,false
ICUI,NASDAQ:ICUI,"ICU Medical, Inc.",NASDAQ,0.0297,151.367,-62.7837,pe15,-2.41092,false
IDA,NYSE:IDA,"IDACORP, Inc.",NYSE,5.96,23.0291,4.86479,pe15,4.73384,false
IDCC,NASDAQ:IDCC,"InterDigital, Inc.",NASDAQ,15.77,29.3772,60.9518,lynch_peg,0.481975,true
IDR,AMEX:IDR,"Idaho Strategic Resources, Inc.",AMEX,1.15,22.363,42.4118,lynch_peg,0.527282,true
IDXX,NASDAQ:IDXX,"IDEXX Laboratories, Inc.",NASDAQ,13.17,39.0765,14.0671,pe15,2.77787,false
IESC,NASDAQ:IESC,"IES Holdings, Inc.",NASDAQ,15.22,33.5762,50.0641,lynch_peg,0.670665,true
IEX,NYSE:IEX,IDEX Corporation,NYSE,6.41,34.2123,5.13601,pe15,6.66127,false
IFS,NYSE:IFS,Intercorp Financial Services Inc.,NYSE,16.31,9.76363,37.4875,lynch_peg,0.26045,true
IHG,NYSE:IHG,InterContinental Hotels Group PLC,NYSE,4.91,33.692,15.2065,lynch_peg,2.21563,false
IIIN,NYSE:IIIN,"Insteel Industries, Inc.",NYSE,2.11,17.4278,16.3401,lynch_peg,1.06657,false
IIIV,NASDAQ:IIIV,"i3 Verticals, Inc.",NASDAQ,0.75,40.0883,,,,false
IIPR,NYSE:IIPR,"Innovative Industrial Properties, Inc.",NYSE,3.98,12.6142,3.94458,pe15,3.19785,true
ILMN,NASDAQ:ILMN,"Illumina, Inc.",NASDAQ,5.48,35.5831,-3.58024,pe15,-9.93875,false
IMAX,NYSE:IMAX,IMAX Corporation,NYSE,0.65,70.7428,-2.57211,pe15,-27.5038,false
IMO,AMEX:IMO,Imperial Oil Limited,AMEX,6.49,20.9732,14.5008,pe15,1.44634,false
IMXI,NASDAQ:IMXI,"International Money Express, Inc.",NASDAQ,1.09,22.1655,4.13754,pe15,5.35718,false
INCY,NASDAQ:INCY,Incyte Corporation,NASDAQ,6.59,14.6353,21.191,lynch_peg,0.690638,true
INDB,NASDAQ:INDB,Independent Bank Corp.,NASDAQ,4.45,15.5478,4.10024,pe15,3.79192,false
INDV,NASDAQ:INDV,Indivior Pharmaceuticals Inc,NASDAQ,1.68,13.4648,9.96748,pe15,1.35087,true
INFY,NYSE:INFY,Infosys Limited,NYSE,0.83,14.9044,6.35298,pe15,2.34606,true
ING,NYSE:ING,ING Groep N.V.,NYSE,2.12,13.4239,27.0665,lynch_peg,0.49596,true
INGM,NYSE:INGM,Ingram Micro Holding Corporation,NYSE,1.4,15.394,-12.503,pe15,-1.23122,false
INGR,NYSE:INGR,Ingredion Incorporated,NYSE,11.36,11.2731,17.0064,lynch_peg,0.662874,true
INIO,NASDAQ:INIO,INNIO N.V. Ordinary Shares,NASDAQ,0.19,-910.197,37.8405,lynch_peg,-24.0535,false
INMD,NASDAQ:INMD,InMode Ltd.,NASDAQ,1.45,12.14,6.87274,pe15,1.7664,true
INOD,NASDAQ:INOD,Innodata Inc.,NASDAQ,1.01,46.1361,109.377,lynch_peg,0.421807,true
INSP,NYSE:INSP,"Inspire Medical Systems, Inc.",NYSE,4.95,12.282,,,,false
INSW,NYSE:INSW,"International Seaways, Inc.",NYSE,6.27,6.08027,-7.25689,pe15,-0.837861,true
INTR,NASDAQ:INTR,"Inter & Co, Inc.",NASDAQ,2.9,7.8282,162.209,lynch_peg,0.0482599,true
INTU,NASDAQ:INTU,Intuit Inc.,NASDAQ,13.82,20.9335,14.5729,pe15,1.43647,false
INVA,NASDAQ:INVA,"Innoviva, Inc.",NASDAQ,4.02,4.28131,12.7111,pe15,0.336817,true
INVH,NYSE:INVH,Invitation Homes Inc.,NYSE,0.96,27.7844,22.3603,lynch_peg,1.24258,false
INVX,NYSE:INVX,"Innovex International, Inc.",NYSE,1.21,35.5787,71.2343,lynch_peg,0.49946,true
IPAR,NASDAQ:IPAR,"Inter Parfums, Inc.",NASDAQ,5.25,21.7189,34.1142,lynch_peg,0.636653,true
IPGP,NASDAQ:IPGP,IPG Photonics Corporation,NASDAQ,0.73,129.804,-24.6227,pe15,-5.27171,false
IPI,NYSE:IPI,"Intrepid Potash, Inc.",NYSE,0.86,18.3798,-3.42484,pe15,-5.36662,false
IQV,NYSE:IQV,IQVIA Holdings Inc.,NYSE,7.91,29.3899,40.2054,lynch_peg,0.730994,true
IR,NYSE:IR,Ingersoll Rand Inc.,NYSE,1.46,34.249,11.0136,pe15,3.10969,false
IRDM,NASDAQ:IRDM,Iridium Communications Inc.,NASDAQ,1.07,56.6534,150.587,lynch_peg,0.376217,true
IREN,NASDAQ:IREN,IREN Limited,NASDAQ,0.41,1118.49,,,,false
IRM,NYSE:IRM,Iron Mountain Incorporated,NYSE,0.49,90.5893,-16.2606,pe15,-5.57109,false
IRT,NYSE:IRT,"Independence Realty Trust, Inc.",NYSE,0.24,92.6743,8.44718,pe15,10.971,false
ISRG,NASDAQ:ISRG,"Intuitive Surgical, Inc.",NASDAQ,8,45.1746,21.5113,lynch_peg,2.10004,false
ISSC,NASDAQ:ISSC,"Innovative Aerosystems, Inc.",NASDAQ,0.89,21.9159,36.1844,lynch_peg,0.605673,true
IT,NYSE:IT,"Gartner, Inc.",NYSE,9.68,15.901,26.4855,lynch_peg,0.600365,true
ITGR,NYSE:ITGR,Integer Holdings Corporation,NYSE,2.96,33.9309,4.72365,pe15,7.18319,false
ITRI,NASDAQ:ITRI,"Itron, Inc.",NASDAQ,6.62,16.8248,32.2024,lynch_peg,0.522471,true
ITT,NYSE:ITT,ITT Inc.,NYSE,6.15,42.7949,48.9084,lynch_peg,0.875002,true
ITUB,NYSE:ITUB,Itaú Unibanco Holding S.A.,NYSE,3.97,8.96,20.852,lynch_peg,0.429694,true
ITW,NYSE:ITW,Illinois Tool Works Inc.,NYSE,10.52,26.2039,9.5742,pe15,2.73693,false
IVR,NYSE:IVR,Invesco Mortgage Capital Inc.,NYSE,1.32,4.7,-38.4002,pe15,-0.122395,true
IVT,NYSE:IVT,InvenTrust Properties Corp.,NYSE,1.44,166.419,8.5542,pe15,19.4547,false
IX,NYSE:IX,ORIX Corporation,NYSE,425.01,11.3468,22.2676,lynch_peg,0.509566,true
J,NYSE:J,Jacobs Solutions Inc.,NYSE,2.39,50.1063,-3.79448,pe15,-13.205,false
JBHT,NASDAQ:JBHT,"J.B. Hunt Transport Services, Inc.",NASDAQ,6.12,40.6051,5.0227,pe15,8.08432,false
JBI,NYSE:JBI,"Janus International Group, Inc.",NYSE,0.38,20.8866,-1.50823,pe15,-13.8484,false
JBL,NYSE:JBL,Jabil Inc.,NYSE,6,45.3531,75.5374,lynch_peg,0.600405,true
JBS,NYSE:JBS,Jbs N.V.,NYSE,10.41,18.5911,43.1795,lynch_peg,0.430553,true
JCAP,NASDAQ:JCAP,"Jefferson Capital, Inc. Common Stock",NASDAQ,6.26,9.12753,20.3514,lynch_peg,0.448496,true
JCI,NYSE:JCI,Johnson Controls International plc,NYSE,2.64,26.3354,25.7375,lynch_peg,1.02323,false
JD,NASDAQ:JD,"JD.com, Inc.",NASDAQ,13.78,19.2402,-15.8721,pe15,-1.21221,false
JEF,NYSE:JEF,Jefferies Financial Group Inc.,NYSE,2.93,14.973,1.79972,pe15,8.31967,true
JHX,NYSE:JHX,James Hardie Industries plc,NYSE,0.19,122.535,-20.5451,pe15,-5.96417,false
JJSF,NASDAQ:JJSF,J&J Snack Foods Corp.,NASDAQ,3.37,34.5165,28.2837,lynch_peg,1.22037,false
JKHY,NASDAQ:JKHY,"Jack Henry & Associates, Inc.",NASDAQ,6.24,21.3635,10.0828,pe15,2.1188,false
JLL,NYSE:JLL,Jones Lang LaSalle Incorporated,NYSE,16.73,17.2694,16.5176,lynch_peg,1.04551,false
JNJ,NYSE:JNJ,Johnson & Johnson,NYSE,11.03,29.963,11.5006,pe15,2.60534,false
JOE,NYSE:JOE,The St. Joe Company,NYSE,2,32.0187,21.0341,lynch_peg,1.52223,false
JPM,NYSE:JPM,JPMorgan Chase & Co.,NYSE,20.09,15.6963,17.7106,lynch_peg,0.886263,true
KALU,NASDAQ:KALU,Kaiser Aluminum Corporation,NASDAQ,6.96,13.1993,30.7698,lynch_peg,0.428968,true
KB,NYSE:KB,KB Financial Group Inc.,NYSE,15437,13742.7,11.787,pe15,1165.92,false
KBDC,NYSE:KBDC,"Kayne Anderson BDC, Inc.",NYSE,1.33,12.5459,40.6349,lynch_peg,0.308746,true
KBH,NYSE:KBH,KB Home,NYSE,6.31,13.2708,14.1202,pe15,0.93985,true
KBR,NYSE:KBR,"KBR, Inc.",NYSE,3.21,11.5663,76.0152,lynch_peg,0.152157,true
KD,NYSE:KD,"Kyndryl Holdings, Inc.",NYSE,0.87,8.95598,,,,false
KDP,NASDAQ:KDP,Keurig Dr Pepper Inc.,NASDAQ,1.53,31.7775,10.2333,pe15,3.10531,false
KEP,NYSE:KEP,Korea Electric Power Corporation,NYSE,6711,2.45057,34.0406,lynch_peg,0.0719897,true
KEX,NYSE:KEX,Kirby Corporation,NYSE,6.37,21.1667,17.8312,lynch_peg,1.18706,false
KEY,NYSE:KEY,KeyCorp,NYSE,1.53,13.4277,3.63258,pe15,3.69648,true
KEYS,NYSE:KEYS,"Keysight Technologies, Inc.",NYSE,4.9,58.9095,7.90219,pe15,7.45484,false
KFRC,NYSE:KFRC,Kforce Inc.,NYSE,1.96,27.5943,-5.99543,pe15,-4.60256,false
KFY,NYSE:KFY,Korn Ferry,NYSE,5.33,15.671,20.3619,lynch_peg,0.769626,true
KGC,NYSE:KGC,Kinross Gold Corporation,NYSE,1.99,10.4771,12.183,pe15,0.859978,true
KGS,NYSE:KGS,"Kodiak Gas Services, Inc.",NYSE,0.92,73.7159,-21.3964,pe15,-3.44526,false
KIM,NYSE:KIM,Kimco Realty Corporation,NYSE,0.83,27.4438,-18.1547,pe15,-1.51167,false
KKR,NYSE:KKR,KKR & Co. Inc.,NYSE,2.51,34.3065,-6.16369,pe15,-5.56591,false
KLAC,NASDAQ:KLAC,KLA Corporation,NASDAQ,3.68,55.5755,22.227,lynch_peg,2.50036,false
KLIC,NASDAQ:KLIC,"Kulicke and Soffa Industries, Inc.",NASDAQ,0.004,43.6878,-65.597,pe15,-0.666003,false
KMB,NASDAQ:KMB,Kimberly-Clark Corporation,NASDAQ,6.08,18.7636,-2.49859,pe15,-7.50968,false
KMI,NYSE:KMI,"Kinder Morgan, Inc.",NYSE,1.37,20.7788,96.4694,lynch_peg,0.215393,true
KMPR,NYSE:KMPR,Kemper Corporation,NYSE,2.31,-3.2418,-18.0242,pe15,0.179858,false
KMT,NYSE:KMT,Kennametal Inc.,NYSE,4.49,6.90757,47.186,lynch_peg,0.14639,true
KMX,NYSE:KMX,"CarMax, Inc.",NYSE,1.68,37.3882,-18.1745,pe15,-2.05718,false
KN,NYSE:KN,Knowles Corporation,NYSE,0.51,49.2278,74.4121,lynch_peg,0.661557,true
KNF,NYSE:KNF,Knife River Corporation,NYSE,2.77,27.0732,1.27477,pe15,21.2376,false
KNSA,NASDAQ:KNSA,"Kiniksa Pharmaceuticals International, plc",NASDAQ,0.8,71.7991,-32.8321,pe15,-2.18686,false
KNSL,NYSE:KNSL,"Kinsale Capital Group, Inc.",NYSE,21.76,15.2401,40.6024,lynch_peg,0.37535,true
KNTK,NYSE:KNTK,Kinetik Holdings Inc.,NYSE,2.66,18.9337,187.011,lynch_peg,0.101244,true
KNX,NYSE:KNX,Knight-Swift Transportation Holdings Inc.,NYSE,0.41,274.59,-29.8878,pe15,-9.18737,false
KO,NYSE:KO,The Coca-Cola Company,NYSE,3.05,26.2928,11.1234,pe15,2.36374,false
KOPN,NASDAQ:KOPN,Kopin Corp.,NASDAQ,0.0149,120.023,,,,false
KR,NYSE:KR,The Kroger Co.,NYSE,1.56,32.7746,-13.9681,pe15,-2.34638,false
KRC,NYSE:KRC,Kilroy Realty Corporation,NYSE,2.32,25.5104,7.31491,pe15,3.48745,false
KRG,NYSE:KRG,Kite Realty Group Trust,NYSE,1.38,16.3827,150.454,lynch_peg,0.108888,true
KRMN,NYSE:KRMN,Karman Holdings Inc.,NYSE,0.13,218.673,98.4791,lynch_peg,2.2205,false
KRNY,NASDAQ:KRNY,Kearny Financial Corp.,NASDAQ,0.58,16.6466,-5.50965,pe15,-3.02134,false
KROS,NASDAQ:KROS,"Keros Therapeutics, Inc.",NASDAQ,2.34,-2.73378,,,,false
KRP,NYSE:KRP,"Kimbell Royalty Partners, LP",NYSE,0.62,18.1225,-7.31102,pe15,-2.47879,false
KRYS,NASDAQ:KRYS,"Krystal Biotech, Inc.",NASDAQ,7.08,39.6427,320.714,lynch_peg,0.123608,true
KSPI,NASDAQ:KSPI,Joint Stock Company Kaspi.kz,NASDAQ,5464.06,8.35597,32.0479,lynch_peg,0.260734,true
KSS,NYSE:KSS,Kohl's Corporation,NYSE,2.43,8.05685,-9.4214,pe15,-0.855165,true
KT,NYSE:KT,KT Corporation,NYSE,3537,9.37936,21.3882,lynch_peg,0.43853,true
KTB,NYSE:KTB,"Kontoor Brands, Inc.",NYSE,4.1,17.3636,3.81521,pe15,4.55116,false
KTOS,NASDAQ:KTOS,"Kratos Defense & Security Solutions, Inc.",NASDAQ,0.13,370.905,-28.3826,pe15,-13.0681,false
KVUE,NYSE:KVUE,Kenvue Inc.,NYSE,0.77,22.0402,0.218106,pe15,101.053,false
KYIV,NASDAQ:KYIV,Kyivstar Group Ltd. Common Shares,NASDAQ,0.57,19.411,-31.647,pe15,-0.613361,false
L,NYSE:L,Loews Corporation,NYSE,7.97,13.81,17.1704,lynch_peg,0.804294,true
LAD,NYSE:LAD,"Lithia Motors, Inc.",NYSE,32.38,12.4495,10.3819,pe15,1.19915,true
LADR,NYSE:LADR,Ladder Capital Corp,NYSE,0.51,24.0375,-12.7996,pe15,-1.878,false
LAMR,NASDAQ:LAMR,Lamar Advertising Company,NASDAQ,5.78,28.4884,19.1193,lynch_peg,1.49003,false
LAUR,NASDAQ:LAUR,"Laureate Education, Inc.",NASDAQ,1.91,16.8236,77.1977,lynch_peg,0.217929,true
LAZ,NYSE:LAZ,Lazard Inc,NYSE,2.43,19.9659,-8.01522,pe15,-2.491,false
LB,NYSE:LB,LandBridge Company LLC,NYSE,1.18,33.7118,-35.3158,pe15,-0.954582,false
LBRT,NYSE:LBRT,Liberty Energy Inc.,NYSE,0.91,28.9993,-2.04333,pe15,-14.1922,false
LCII,NYSE:LCII,LCI Industries,NYSE,7.59,12.1853,3.79591,pe15,3.2101,true
LCLN,NYSE:LCLN,Lincoln International Inc.,NYSE,2.1,2553.25,-34.4677,pe15,-74.0765,false
LDOS,NYSE:LDOS,"Leidos Holdings, Inc.",NYSE,11.22,13.2715,20.4798,lynch_peg,0.64803,true
LE,NASDAQ:LE,"Lands' End, Inc.",NASDAQ,0.18,1.10892,-11.4167,pe15,-0.097131,true
LEA,NYSE:LEA,Lear Corporation,NYSE,8.22,11.506,25.5981,lynch_peg,0.449487,true
LECO,NASDAQ:LECO,"Lincoln Electric Holdings, Inc.",NASDAQ,9.39,28.2806,22.1006,lynch_peg,1.27963,false
LEG,NYSE:LEG,"Leggett & Platt, Incorporated",NYSE,1.7,6.14557,-1.78288,pe15,-3.44699,true
LEN,NYSE:LEN,Lennar Corporation,NYSE,7.98,13.511,0.252528,pe15,53.5027,true
LEU,NYSE:LEU,Centrus Energy Corp.,NYSE,4.33,77.5737,48.9797,lynch_peg,1.58379,false
LEVI,NYSE:LEVI,Levi Strauss & Co.,NYSE,1.46,13.6442,6.33394,pe15,2.15414,true
LFST,NASDAQ:LFST,"LifeStance Health Group, Inc.",NASDAQ,0.03,97.1966,,,,false
LGIH,NASDAQ:LGIH,"LGI Homes, Inc.",NASDAQ,3.13,20.7134,-24.6543,pe15,-0.840151,false
LGND,NASDAQ:LGND,Ligand Pharmaceuticals Incorporated,NASDAQ,6.44,28.9149,-23.8896,pe15,-1.21036,false
LH,NYSE:LH,Labcorp Holdings Inc.,NYSE,10.54,26.256,-7.99775,pe15,-3.28292,false
LHX,NYSE:LHX,"L3Harris Technologies, Inc.",NYSE,8.57,29.2391,10.3814,pe15,2.81649,false
LI,NASDAQ:LI,Li Auto Inc.,NASDAQ,1.12,-45.951,-69.3214,pe15,0.662868,false
LIF,NASDAQ:LIF,"Life360, Inc.",NASDAQ,1.95,25.4379,,,,false
LIFE,NASDAQ:LIFE,Ethos Technologies Inc.,NASDAQ,1.14,-13.1565,,,,false
LII,NYSE:LII,Lennox International Inc.,NYSE,22.31,18.8115,19.1251,lynch_peg,0.983604,true
LIN,NASDAQ:LIN,Linde plc,NASDAQ,14.67,30.7841,25.2989,lynch_peg,1.21681,false
LINC,NASDAQ:LINC,Lincoln Educational Services Corporation,NASDAQ,0.65,40.1216,-15.2879,pe15,-2.6244,false
LKQ,NASDAQ:LKQ,LKQ Corporation,NASDAQ,2.35,14.1377,2.27505,pe15,6.21421,true
LLY,NYSE:LLY,Eli Lilly and Company,NYSE,23,39.6569,28.8738,lynch_peg,1.37346,false
LMAT,NASDAQ:LMAT,"LeMaitre Vascular, Inc.",NASDAQ,2.55,28.2762,19.4181,lynch_peg,1.45618,false
LMB,NASDAQ:LMB,"Limbach Holdings, Inc.",NASDAQ,4.18,17.4865,41.3803,lynch_peg,0.42258,true
LMT,NYSE:LMT,Lockheed Martin Corporation,NYSE,21.56,22.2125,-2.44449,pe15,-9.08674,false
LNC,NYSE:LNC,Lincoln National Corporation,NYSE,5.95,3.8075,18.1897,lynch_peg,0.209322,true
LNG,NYSE:LNG,"Cheniere Energy, Inc.",NYSE,24.19,19.9933,45.6865,lynch_peg,0.43762,true
LNT,NASDAQ:LNT,Alliant Energy Corporation,NASDAQ,3.15,22.1646,4.9839,pe15,4.44724,false
LNTH,NASDAQ:LNTH,"Lantheus Holdings, Inc.",NASDAQ,3.46,23.962,27.3792,lynch_peg,0.87519,true
LOAR,NYSE:LOAR,Loar Holdings Inc.,NYSE,0.77,106.458,,,,false
LOB,NYSE:LOB,"Live Oak Bancshares, Inc.",NYSE,2.24,15.1372,8.93791,pe15,1.69359,false
LOCO,NASDAQ:LOCO,"El Pollo Loco Holdings, Inc.",NASDAQ,0.91,13.1581,5.3874,pe15,2.44238,true
LOGI,NASDAQ:LOGI,Logitech International S.A.,NASDAQ,4.85,18.8454,-2.90406,pe15,-6.48934,false
LOMA,NYSE:LOMA,Loma Negra Compañía Industrial Argentina Sociedad Anónima,NYSE,232.15,37.3092,-3.67875,pe15,-10.1418,false
LOPE,NASDAQ:LOPE,"Grand Canyon Education, Inc.",NASDAQ,7.76,17.2398,7.16621,pe15,2.4057,false
LOW,NYSE:LOW,"Lowe's Companies, Inc.",NYSE,11.87,18.2948,8.84436,pe15,2.06852,false
LPG,NYSE:LPG,Dorian LPG Ltd.,NYSE,4.55,6.14352,19.5913,lynch_peg,0.313584,true
