yahooTicker,symbol,companyName,tf,entry_date,exit_date,entry_price,exit_price,entry_rr,pnl_usd,pnl_r,pnl_pct,hold_periods,win,trailingPE,forwardPE,trailingEps,forwardEps,marketCap,pe_bucket,trailing_eps_bucket,forward_eps_bucket,fund_reason,pass_F1,pass_F2,pass_F3,pass_F4,pass_F5,source
AREN,AMEX:AREN,"The Arena Group Holdings, Inc.",Daily,2025-07-21,2025-07-24,5.769999980926514,6.070000171661377,1.9450119200464373,47.43934454855097,0.4743934454855097,5.199310081915996,3.0,1,3.4130435,3.4130435,0.46,0.46,74736384.0,"(0,15]",>0,>0,OK,1,1,0,0,1,ledger
AREN,AMEX:AREN,"The Arena Group Holdings, Inc.",Daily,2025-09-04,2025-09-08,6.340000152587891,5.900000095367432,2.755917629702916,-80.30490820426813,-0.8030490820426812,-6.940063826983628,2.0,0,3.4130435,3.4130435,0.46,0.46,74736384.0,"(0,15]",>0,>0,OK,1,1,0,0,1,ledger
AREN,AMEX:AREN,"The Arena Group Holdings, Inc.",Weekly,2018-04-27,2018-05-25,35.20000076293945,27.719999313354492,1.8235289767765048,-100.0,-1.0,-21.250003657557667,4.0,0,3.4130435,3.4130435,0.46,0.46,74736384.0,"(0,15]",>0,>0,OK,1,1,0,0,1,ledger
AREN,AMEX:AREN,"The Arena Group Holdings, Inc.",Weekly,2026-04-24,2026-05-15,2.200000047683716,1.6799999475479126,12.740063149404365,-84.39278971594743,-0.8439278971594742,-23.636367675686586,3.0,0,3.4130435,3.4130435,0.46,0.46,74736384.0,"(0,15]",>0,>0,OK,1,1,0,0,1,ledger
AREN,AMEX:AREN,"The Arena Group Holdings, Inc.",Monthly,2019-01-31,2020-04-30,14.960000038146973,10.119999885559082,4.395348912231619,-51.162792104342856,-0.5116279210434286,-32.35294211394534,15.0,0,3.4130435,3.4130435,0.46,0.46,74736384.0,"(0,15]",>0,>0,OK,1,1,0,0,1,ledger
AREN,AMEX:AREN,"The Arena Group Holdings, Inc.",Monthly,2021-12-31,2022-02-28,14.079999923706055,7.920000076293945,6.00912518090781,-71.29470366540608,-0.7129470366540607,-43.74999915334311,2.0,0,3.4130435,3.4130435,0.46,0.46,74736384.0,"(0,15]",>0,>0,OK,1,1,0,0,1,ledger
ASM,AMEX:ASM,Avino Silver & Gold Mines Ltd.,Daily,2024-11-07,2024-11-11,1.2400000095367432,1.0700000524520874,2.1333332273695036,-113.33332273695035,-1.1333332273695036,-13.709673852999948,2.0,0,24.625,7.296296,0.24,0.81,1035851712.0,"(15,25]",>0,>0,OK,1,1,1,1,1,ledger
ASM,AMEX:ASM,Avino Silver & Gold Mines Ltd.,Daily,2026-04-30,2026-05-04,6.440000057220459,6.340000152587891,3.4188095681887103,-21.10373791954509,-0.2110373791954509,-1.552793536398335,2.0,0,24.625,7.296296,0.24,0.81,1035851712.0,"(15,25]",>0,>0,OK,1,1,1,1,1,ledger
ASM,AMEX:ASM,Avino Silver & Gold Mines Ltd.,Daily,2026-05-26,2026-06-03,6.900000095367432,6.820000171661377,2.480768331409173,-15.384601277006636,-0.15384601277006638,-1.1594191681209625,6.0,0,24.625,7.296296,0.24,0.81,1035851712.0,"(15,25]",>0,>0,OK,1,1,1,1,1,ledger
ASM,AMEX:ASM,Avino Silver & Gold Mines Ltd.,Weekly,2020-11-06,2020-11-27,1.1200000047683716,0.9200000166893005,1.541666625274554,-83.33332505491077,-0.8333332505491078,-17.857141716747872,3.0,0,24.625,7.296296,0.24,0.81,1035851712.0,"(15,25]",>0,>0,OK,1,1,1,1,1,ledger
AWX,AMEX:AWX,Avalon Holdings Corporation,Daily,2025-08-13,2025-08-15,2.5399999618530273,2.5,3.0720700875263236,-76.80163774469055,-0.7680163774469054,-1.57480167140813,2.0,0,18.0,,0.14,,9826569.0,"(15,25]",>0,missing,OK,1,1,1,0,1,ledger
AWX,AMEX:AWX,Avalon Holdings Corporation,Daily,2025-10-30,2025-11-07,2.7799999713897705,2.5299999713897705,9.608864534158606,-90.6496703100017,-0.906496703100017,-8.992805847944691,6.0,0,18.0,,0.14,,9826569.0,"(15,25]",>0,missing,OK,1,1,1,0,1,ledger
AWX,AMEX:AWX,Avalon Holdings Corporation,Daily,2026-06-09,2026-06-18,2.5399999618530273,2.430000066757202,2.500002980235081,-137.5,-1.375,-4.3307045963723585,7.0,0,18.0,,0.14,,9826569.0,"(15,25]",>0,missing,OK,1,1,1,0,1,ledger
AWX,AMEX:AWX,Avalon Holdings Corporation,Weekly,2018-11-09,2018-11-16,3.549999952316284,2.9800000190734863,12.466829736733704,-42.679229860179056,-0.4267922986017906,-16.05633636335368,1.0,0,18.0,,0.14,,9826569.0,"(15,25]",>0,missing,OK,1,1,1,0,1,ledger
AWX,AMEX:AWX,Avalon Holdings Corporation,Weekly,2020-10-02,2021-02-26,1.6699999570846558,3.549999952316284,2.441329877277688,596.0648780216275,5.960648780216275,112.57485290679725,21.0,1,18.0,,0.14,,9826569.0,"(15,25]",>0,missing,OK,1,1,1,0,1,ledger
AWX,AMEX:AWX,Avalon Holdings Corporation,Weekly,2025-03-21,2025-03-28,3.3299999237060547,2.930000066757202,1.6923084917390991,-102.56410099659,-1.0256410099659,-12.01200799139001,1.0,0,18.0,,0.14,,9826569.0,"(15,25]",>0,missing,OK,1,1,1,0,1,ledger
AWX,AMEX:AWX,Avalon Holdings Corporation,Weekly,2025-11-14,2025-12-19,2.9800000190734863,2.6600000858306885,5.4444434436752065,-71.11108874097519,-0.7111108874097519,-10.738252724652304,5.0,0,18.0,,0.14,,9826569.0,"(15,25]",>0,missing,OK,1,1,1,0,1,ledger
AWX,AMEX:AWX,Avalon Holdings Corporation,Monthly,2019-07-31,2019-08-31,2.619999885559082,2.2100000381469727,3.0518508215401514,-30.006195401992144,-0.3000619540199214,-15.648849821404456,1.0,0,18.0,,0.14,,9826569.0,"(15,25]",>0,missing,OK,1,1,1,0,1,ledger
AWX,AMEX:AWX,Avalon Holdings Corporation,Monthly,2022-08-31,2023-05-31,3.140000104904175,2.309999942779541,3.127904095260345,-88.60617225342631,-0.8860617225342631,-26.433125299209614,9.0,0,18.0,,0.14,,9826569.0,"(15,25]",>0,missing,OK,1,1,1,0,1,ledger
AWX,AMEX:AWX,Avalon Holdings Corporation,Monthly,2025-09-30,2026-06-30,2.609999895095825,2.490000009536743,2.7058826279337755,-23.529389765297942,-0.23529389765297942,-4.597696949511803,9.0,0,18.0,,0.14,,9826569.0,"(15,25]",>0,missing,OK,1,1,1,0,1,ledger
AXIL,AMEX:AXIL,"AXIL Brands, Inc.",Daily,2025-03-11,2025-03-24,7.0,6.926000118255615,4.518072704459749,-8.91564922246811,-0.0891564922246811,-1.0571411677769251,9.0,0,47.916668,,0.12,,39201872.0,>40,>0,missing,OK,1,1,0,0,1,ledger
AXIL,AMEX:AXIL,"AXIL Brands, Inc.",Daily,2026-01-08,2026-01-30,7.130000114440918,6.809999942779541,2.5277775324911564,-29.629647617315197,-0.29629647617315197,-4.4880808769309395,15.0,0,47.916668,,0.12,,39201872.0,>40,>0,missing,OK,1,1,0,0,1,ledger
AXIL,AMEX:AXIL,"AXIL Brands, Inc.",Daily,2026-04-23,2026-06-18,6.960999965667725,6.179999828338623,1.8522344990995803,-268.3850289461567,-2.6838502894615672,-11.219654376972622,39.0,0,47.916668,,0.12,,39201872.0,>40,>0,missing,OK,1,1,0,0,1,ledger
BDL,AMEX:BDL,"Flanigan's Enterprises, Inc.",Daily,2024-07-31,2024-08-01,26.549999237060547,26.5,2.2638284853872674,-8.02763896131218,-0.08027638961312179,-0.18832104895413354,1.0,0,13.352025,,3.21,,79661608.0,"(0,15]",>0,missing,OK,1,1,1,0,1,ledger
BDL,AMEX:BDL,"Flanigan's Enterprises, Inc.",Daily,2025-06-20,2025-07-01,30.700000762939453,29.0,4.093019404671079,-131.78291135122987,-1.3178291135122986,-5.537461630918481,7.0,0,13.352025,,3.21,,79661608.0,"(0,15]",>0,missing,OK,1,1,1,0,1,ledger
BDL,AMEX:BDL,"Flanigan's Enterprises, Inc.",Daily,2025-12-03,2025-12-08,30.360000610351562,27.549999237060547,2.721480304696724,-316.006990902606,-3.16006990902606,-9.255603810274351,3.0,0,13.352025,,3.21,,79661608.0,"(0,15]",>0,missing,OK,1,1,1,0,1,ledger
BDL,AMEX:BDL,"Flanigan's Enterprises, Inc.",Weekly,2021-10-01,2021-12-03,25.790000915527344,31.940000534057617,5.796565275175617,161.5996290862163,1.615996290862163,23.846449787551396,9.0,1,13.352025,,3.21,,79661608.0,"(0,15]",>0,missing,OK,1,1,1,0,1,ledger
BDL,AMEX:BDL,"Flanigan's Enterprises, Inc.",Weekly,2022-08-05,2022-08-26,29.43000030517578,26.350000381469727,3.763257235705044,-109.65782718549596,-1.0965782718549597,-10.465511015181276,3.0,0,13.352025,,3.21,,79661608.0,"(0,15]",>0,missing,OK,1,1,1,0,1,ledger
BDL,AMEX:BDL,"Flanigan's Enterprises, Inc.",Weekly,2025-09-05,2025-09-12,31.010000228881836,27.5,1.8585396625014543,-131.25705315969282,-1.3125705315969283,-11.318930032166595,1.0,0,13.352025,,3.21,,79661608.0,"(0,15]",>0,missing,OK,1,1,1,0,1,ledger
BHB,AMEX:BHB,Bar Harbor Bankshares,Daily,2024-08-08,2024-08-12,29.06999969482422,28.06999969482422,2.9859165145489053,-70.42253142759665,-0.7042253142759665,-3.439972516332862,2.0,0,13.760135,10.760898,2.96,3.785,682390400.0,"(0,15]",>0,>0,OK,1,1,1,1,1,ledger
BHB,AMEX:BHB,Bar Harbor Bankshares,Daily,2024-09-12,2024-09-20,30.209999084472656,31.280000686645508,1.9158876838720258,100.00017825693241,1.0000017825693241,3.541878962594247,6.0,1,13.760135,10.760898,2.96,3.785,682390400.0,"(0,15]",>0,>0,OK,1,1,1,1,1,ledger
BHB,AMEX:BHB,Bar Harbor Bankshares,Daily,2024-09-30,2024-10-01,30.84000015258789,29.600000381469727,2.074075774727982,-114.81480173286168,-1.1481480173286167,-4.020751507726927,1.0,0,13.760135,10.760898,2.96,3.785,682390400.0,"(0,15]",>0,>0,OK,1,1,1,1,1,ledger
BHB,AMEX:BHB,Bar Harbor Bankshares,Daily,2024-11-21,2024-12-03,35.400001525878906,35.47999954223633,2.291571091279907,5.971373285589256,0.059713732855892564,0.22598308731410624,7.0,1,13.760135,10.760898,2.96,3.785,682390400.0,"(0,15]",>0,>0,OK,1,1,1,1,1,ledger
BHB,AMEX:BHB,Bar Harbor Bankshares,Daily,2025-11-10,2025-11-14,29.600000381469727,29.6299991607666,1.5,2.9998779296875,0.029998779296875,0.10134722604819599,4.0,1,13.760135,10.760898,2.96,3.785,682390400.0,"(0,15]",>0,>0,OK,1,1,1,1,1,ledger
BHB,AMEX:BHB,Bar Harbor Bankshares,Daily,2026-01-05,2026-01-13,31.639999389648438,31.260000228881836,2.8461598654094447,-48.71791736765915,-0.4871791736765914,-1.2010087487262238,6.0,0,13.760135,10.760898,2.96,3.785,682390400.0,"(0,15]",>0,>0,OK,1,1,1,1,1,ledger
BHB,AMEX:BHB,Bar Harbor Bankshares,Daily,2026-01-29,2026-02-05,33.709999084472656,35.13999938964844,1.5643608482994353,141.5844239231016,1.4158442392310162,4.242065689745038,5.0,1,13.760135,10.760898,2.96,3.785,682390400.0,"(0,15]",>0,>0,OK,1,1,1,1,1,ledger
BHB,AMEX:BHB,Bar Harbor Bankshares,Weekly,2024-03-29,2024-04-12,26.479999542236328,23.8799991607666,1.627616021094164,-108.78665462137124,-1.0878665462137125,-9.8187327281583,2.0,0,13.760135,10.760898,2.96,3.785,682390400.0,"(0,15]",>0,>0,OK,1,1,1,1,1,ledger
BHB,AMEX:BHB,Bar Harbor Bankshares,Weekly,2025-01-17,2025-02-28,31.100000381469727,32.119998931884766,2.834615291505184,39.230707721606365,0.39230707721606367,3.2797380639994573,6.0,1,13.760135,10.760898,2.96,3.785,682390400.0,"(0,15]",>0,>0,OK,1,1,1,1,1,ledger
BKTI,AMEX:BKTI,BK Technologies Corporation,Daily,2025-07-02,2025-07-07,48.4900016784668,47.529998779296875,2.31680929182382,-23.38742407491933,-0.2338742407491933,-1.9797955577226454,2.0,0,22.488829,19.078201,3.58,4.22,301445376.0,"(15,25]",>0,>0,OK,1,1,1,1,1,ledger
BKTI,AMEX:BKTI,BK Technologies Corporation,Weekly,2019-03-01,2019-04-19,20.450000762939453,19.049999237060547,1.8677123299069596,-71.63836671373348,-0.7163836671373348,-6.8459729762751955,7.0,0,22.488829,19.078201,3.58,4.22,301445376.0,"(15,25]",>0,>0,OK,1,1,1,1,1,ledger
BMNR,AMEX:BMNR,"Bitmine Immersion Technologies, Inc.",Daily,2025-07-31,2025-08-01,34.63999938964844,31.68000030517578,11.317833215217734,-26.512168244255523,-0.26512168244255524,-8.545032149617187,1.0,0,,19.25532,-4.5,0.94,10918397952.0,missing,<=0,>0,OK,0,0,0,0,0,ledger
BMNR,AMEX:BMNR,"Bitmine Immersion Technologies, Inc.",Daily,2025-08-22,2025-08-27,53.4900016784668,46.029998779296875,2.0945579451437975,-85.6186937498416,-0.856186937498416,-13.946537044460513,3.0,0,,19.25532,-4.5,0.94,10918397952.0,missing,<=0,>0,OK,0,0,0,0,0,ledger
BMNR,AMEX:BMNR,"Bitmine Immersion Technologies, Inc.",Daily,2025-09-29,2025-10-10,53.220001220703125,52.470001220703125,1.83527368697659,-12.479196895434171,-0.1247919689543417,-1.4092446125466123,9.0,0,,19.25532,-4.5,0.94,10918397952.0,missing,<=0,>0,OK,0,0,0,0,0,ledger
BMNR,AMEX:BMNR,"Bitmine Immersion Technologies, Inc.",Daily,2025-10-20,2025-10-22,53.79999923706055,48.029998779296875,2.2306232882540518,-109.07371378381846,-1.0907371378381847,-10.724908066149121,2.0,0,,19.25532,-4.5,0.94,10918397952.0,missing,<=0,>0,OK,0,0,0,0,0,ledger
BMNR,AMEX:BMNR,"Bitmine Immersion Technologies, Inc.",Daily,2026-03-23,2026-03-26,21.270000457763672,19.469999313354492,1.6008419363340245,-111.68672103215725,-1.1168672103215724,-8.46262861152017,3.0,0,,19.25532,-4.5,0.94,10918397952.0,missing,<=0,>0,OK,0,0,0,0,0,ledger
BRBS,AMEX:BRBS,"Blue Ridge Bankshares, Inc.",Daily,2025-08-11,2025-08-14,3.6600000858306885,3.740000009536743,1.5000004584972844,30.769202554013273,0.30769202554013275,2.185790213933768,3.0,1,33.18182,,0.11,,327241504.0,"(25,40]",>0,missing,OK,1,1,0,0,1,ledger
BRBS,AMEX:BRBS,"Blue Ridge Bankshares, Inc.",Daily,2025-11-25,2025-12-19,4.289999961853027,4.460000038146973,1.9799995422363281,68.00003051757812,0.6800003051757812,3.962705776354256,17.0,1,33.18182,,0.11,,327241504.0,"(25,40]",>0,missing,OK,1,1,0,0,1,ledger
BRBS,AMEX:BRBS,"Blue Ridge Bankshares, Inc.",Daily,2026-07-13,2026-07-17,3.4700000286102295,3.4600000381469727,2.0,-10.526302580692116,-0.10526302580692116,-0.28818416083016385,4.0,0,33.18182,,0.11,,327241504.0,"(25,40]",>0,missing,OK,1,1,0,0,1,ledger
BRBS,AMEX:BRBS,"Blue Ridge Bankshares, Inc.",Weekly,2017-02-03,2017-02-10,9.773332595825195,9.222222328186035,4.102073525869808,-253.06255610781457,-2.530625561078146,-5.6389185800816195,1.0,0,33.18182,,0.11,,327241504.0,"(25,40]",>0,missing,OK,1,1,0,0,1,ledger
BRBS,AMEX:BRBS,"Blue Ridge Bankshares, Inc.",Weekly,2018-04-27,2018-07-20,12.0,13.433333396911621,3.529412160695262,252.9412160695262,2.529412160695262,11.944444974263508,12.0,1,33.18182,,0.11,,327241504.0,"(25,40]",>0,missing,OK,1,1,0,0,1,ledger
BRBS,AMEX:BRBS,"Blue Ridge Bankshares, Inc.",Weekly,2018-10-26,2018-11-02,12.993332862854004,11.766667366027832,6.05645795791985,-148.38709677419357,-1.4838709677419355,-9.440730178882935,1.0,0,33.18182,,0.11,,327241504.0,"(25,40]",>0,missing,OK,1,1,0,0,1,ledger
BRBS,AMEX:BRBS,"Blue Ridge Bankshares, Inc.",Weekly,2019-03-15,2019-06-14,11.399999618530273,13.666666984558105,2.2295185301065135,505.3576894146775,5.053576894146775,19.883047735751227,13.0,1,33.18182,,0.11,,327241504.0,"(25,40]",>0,missing,OK,1,1,0,0,1,ledger
BRBS,AMEX:BRBS,"Blue Ridge Bankshares, Inc.",Weekly,2019-08-09,2019-12-27,13.166666984558105,13.733332633972168,6.1236965973068225,189.27758786317105,1.8927758786317106,4.303789638476078,20.0,1,33.18182,,0.11,,327241504.0,"(25,40]",>0,missing,OK,1,1,0,0,1,ledger
BRBS,AMEX:BRBS,"Blue Ridge Bankshares, Inc.",Monthly,2017-04-30,2018-10-31,9.577777862548828,11.966667175292969,1.5079942171320548,415.6655428310985,4.156655428310985,24.941999564274838,18.0,1,33.18182,,0.11,,327241504.0,"(25,40]",>0,missing,OK,1,1,0,0,1,ledger
