NASDAQ:AOMR|Angel Oak Mortgage REIT, Inc.
NASDAQ:AORT|Artivion, Inc.
NASDAQ:AOS|A. O. Smith Corporation
NASDAQ:APA|APA Corporation
NASDAQ:APAM|Artisan Partners Asset Management Inc.
NASDAQ:APD|Air Products and Chemicals, Inc.
NASDAQ:APEI|American Public Education, Inc.
NASDAQ:APH|Amphenol Corporation
NASDAQ:API|Agora, Inc.
NASDAQ:APLE|Apple Hospitality REIT, Inc.
NASDAQ:APO|Apollo Global Management, Inc.
NASDAQ:APOG|Apogee Enterprises, Inc.
NASDAQ:APP|AppLovin Corporation
NASDAQ:APPF|AppFolio, Inc.
NASDAQ:APPN|Appian Corporation
NASDAQ:AQN|Algonquin Power & Utilities Corp.
NASDAQ:AR|Antero Resources Corporation
NASDAQ:ARCB|ArcBest Corporation
NASDAQ:ARDT|Ardent Health, Inc.
NASDAQ:ARES|Ares Management Corporation
NASDAQ:ARHS|Arhaus, Inc.
NASDAQ:ARI|Apollo Commercial Real Estate Finance, Inc.
NASDAQ:ARIS|Aris Mining Corporation
NASDAQ:ARL|American Realty Investors, Inc.
NASDAQ:ARLO|Arlo Technologies, Inc.
NASDAQ:ARMK|Aramark
NASDAQ:AROC|Archrock, Inc.
NASDAQ:AROW|Arrow Financial Corporation
NASDAQ:ARTNA|Artesian Resources Corporation
NASDAQ:ARW|Arrow Electronics, Inc.
NASDAQ:ARXS|Arxis, Inc.
NASDAQ:ASA|ASA Gold and Precious Metals Limited
NASDAQ:ASB|Associated Banc-Corp
NASDAQ:ASIC|Ategrity Specialty Insurance Company Holdings
NASDAQ:ASIX|AdvanSix Inc.
NASDAQ:ASMB|Assembly Biosciences, Inc.
NASDAQ:ASO|Academy Sports and Outdoors, Inc.
NASDAQ:ASRV|AmeriServ Financial, Inc.
NASDAQ:ASTE|Astec Industries, Inc.
NASDAQ:ASYS|Amtech Systems, Inc.
NASDAQ:ATEN|A10 Networks, Inc.
NASDAQ:ATI|ATI Inc.
NASDAQ:ATII|Archimedes Tech SPAC Partners II Co.
NASDAQ:ATLC|Atlanticus Holdings Corporation
NASDAQ:ATMU|Atmus Filtration Technologies Inc.
NASDAQ:ATO|Atmos Energy Corporation
NASDAQ:ATR|AptarGroup, Inc.
NASDAQ:ATRO|Astronics Corporation
NASDAQ:ATS|ATS Corporation
NASDAQ:AU|AngloGold Ashanti plc
NASDAQ:AUB|Atlantic Union Bankshares Corporation
NASDAQ:AUBN|Auburn National Bancorporation, Inc.
NASDAQ:AUGO|Aura Minerals Inc.
NASDAQ:AUPH|Aurinia Pharmaceuticals Inc.
NASDAQ:AVA|Avista Corporation
NASDAQ:AVAH|Aveanna Healthcare Holdings Inc.
NASDAQ:AVB|AvalonBay Communities, Inc.
NASDAQ:AVBC|Avidia Bancorp, Inc.
NASDAQ:AVEX|AEVEX Corp.
NASDAQ:AVGO|Broadcom Inc.
NASDAQ:AVNT|Avient Corporation
NASDAQ:AVNW|Aviat Networks, Inc.
NASDAQ:AVO|Mission Produce, Inc.
NASDAQ:AVPT|AvePoint, Inc.
NASDAQ:AVT|Avnet, Inc.
NASDAQ:AVY|Avery Dennison Corporation
NASDAQ:AWI|Armstrong World Industries, Inc.
NASDAQ:AWK|American Water Works Company, Inc.
NASDAQ:AWR|American States Water Company
NASDAQ:AX|Axos Financial, Inc.
NASDAQ:AXON|Axon Enterprise, Inc.
NASDAQ:AXP|American Express Company
NASDAQ:AXR|AMREP Corporation
NASDAQ:AXTA|Axalta Coating Systems Ltd.
NASDAQ:AYA|Aya Gold & Silver Inc.
NASDAQ:AYI|Acuity Inc.
NASDAQ:AZO|AutoZone, Inc.
NASDAQ:AZZ|AZZ Inc.
NASDAQ:B|Barrick Mining Corporation
NASDAQ:BA|The Boeing Company
NASDAQ:BAC|Bank of America Corporation
NASDAQ:BAH|Booz Allen Hamilton Holding Corporation
NASDAQ:BALL|Ball Corporation
NASDAQ:BAM|Brookfield Asset Management Ltd.
NASDAQ:BANC|Banc of California, Inc.
NASDAQ:BANF|BancFirst Corporation
NASDAQ:BANR|Banner Corporation
NASDAQ:BB|BlackBerry Limited
NASDAQ:BBDC|Barings BDC, Inc.
NASDAQ:BBN|BlackRock Taxable Municipal Bond Trust
NASDAQ:BBSI|Barrett Business Services, Inc.
NASDAQ:BBT|Beacon Financial Corporation
NASDAQ:BBW|Build-A-Bear Workshop, Inc.
NASDAQ:BBWI|Bath & Body Works, Inc.
NASDAQ:BBY|Best Buy Co., Inc.
NASDAQ:BCAT|BlackRock Capital Allocation Term Trust
NASDAQ:BCC|Boise Cascade Company
NASDAQ:BCE|BCE Inc.
NASDAQ:BCG|Binah Capital Group, Inc.
NASDAQ:BCML|BayCom Corp
NASDAQ:BCO|The Brink's Company
NASDAQ:BCPC|Balchem Corporation
