NASDAQ:BTSG|BrightSpring Health Services, Inc.
NYSE:BTU|Peabody Energy Corporation
NASDAQ:BULL|Webull Corporation
NYSE:BUR|Burford Capital Limited
NASDAQ:BUSE|First Busey Corporation
NYSE:BVN|Compañía de Minas Buenaventura S.A.A.
NASDAQ:BWIN|The Baldwin Insurance Group, Inc.
NYSE:BWLP|BW LPG Limited
NYSE:BXMT|Blackstone Mortgage Trust, Inc.
NYSE:BXP|BXP, Inc.
NYSE:BXSL|Blackstone Secured Lending Fund
NYSE:BYD|Boyd Gaming Corporation
NASDAQ:BZ|Kanzhun Limited
NYSE:CAE|CAE Inc.
NYSE:CAG|Conagra Brands, Inc.
NASDAQ:CAI|Caris Life Sciences, Inc.
NASDAQ:CAKE|The Cheesecake Factory Incorporated
NASDAQ:CALM|Cal-Maine Foods, Inc.
NYSE:CALX|Calix, Inc.
NYSE:CALY|Callaway Golf Company
NASDAQ:CAMT|Camtek Ltd.
NASDAQ:CAR|Avis Budget Group, Inc.
NASDAQ:CARG|CarGurus, Inc.
NASDAQ:CART|Maplebear Inc.
NASDAQ:CATY|Cathay General Bancorp
NYSE:CAVA|CAVA Group, Inc.
NASDAQ:CBSH|Commerce Bancshares, Inc.
NYSE:CBT|Cabot Corporation
NYSE:CC|The Chemours Company
NASDAQ:CCC|CCC Intelligent Solutions Holdings Inc.
NYSE:CCS|Century Communities, Inc.
NYSE:CDP|COPT Defense Properties
NYSE:CE|Celanese Corporation
NASDAQ:CELC|Celcuity Inc.
NASDAQ:CENX|Century Aluminum Company
NYSE:CEPU|Central Puerto S.A.
NYSE:CFR|Cullen/Frost Bankers, Inc.
NYSE:CGAU|Centerra Gold Inc.
NASDAQ:CGNX|Cognex Corporation
NASDAQ:CGON|CG Oncology, Inc.
NASDAQ:CHDN|Churchill Downs Incorporated
NASDAQ:CHEF|The Chefs' Warehouse, Inc.
NYSE:CHH|Choice Hotels International, Inc.
NASDAQ:CHRD|Chord Energy Corporation
NASDAQ:CHYM|Chime Financial, Inc.
NASDAQ:CIFR|Cipher Digital Inc.
NYSE:CIG|Companhia Energética de Minas Gerais - CEMIG
NASDAQ:CIGI|Colliers International Group Inc.
NASDAQ:CLBT|Cellebrite DI Ltd.
NYSE:CLF|Cleveland-Cliffs Inc.
AMEX:CLM|Cornerstone Strategic Investment Fund, Inc.
NASDAQ:CLMT|Calumet, Inc.
NASDAQ:CLSK|CleanSpark, Inc.
NYSE:CMBT|Cmb.Tech NV
NYSE:CMC|Commercial Metals Company
NYSE:CMRE|Costamare Inc.
NYSE:CNK|Cinemark Holdings, Inc.
NYSE:CNO|CNO Financial Group, Inc.
NYSE:CNR|Core Natural Resources, Inc.
NYSE:CNS|Cohen & Steers, Inc.
NASDAQ:CNTA|Centessa Pharmaceuticals plc
NYSE:CNX|CNX Resources Corporation
NASDAQ:CNXC|Concentrix Corporation
NASDAQ:COCO|The Vita Coco Company, Inc.
NASDAQ:COGT|Cogent Biosciences, Inc.
NASDAQ:COLB|Columbia Banking System, Inc.
NYSE:COLD|Americold Realty Trust, Inc.
NASDAQ:COLM|Columbia Sportswear Company
NYSE:COMP|Compass, Inc.
NYSE:CON|Concentra Group Holdings Parent, Inc.
NASDAQ:CORT|Corcept Therapeutics Incorporated
NASDAQ:CORZ|Core Scientific, Inc.
NYSE:COTY|Coty Inc.
NYSE:CPA|Copa Holdings, S.A.
NASDAQ:CPB|The Campbell's Company
NYSE:CPRI|Capri Holdings Limited
NASDAQ:CPRX|Catalyst Pharmaceuticals, Inc.
NYSE:CRC|California Resources Corporation
NYSE:CRGY|Crescent Energy Company
NYSE:CRK|Comstock Resources, Inc.
NYSE:CRL|Charles River Laboratories International, Inc.
NASDAQ:CRNX|Crinetics Pharmaceuticals, Inc.
NASDAQ:CROX|Crocs, Inc.
NASDAQ:CRSP|CRISPR Therapeutics AG
NASDAQ:CRUS|Cirrus Logic, Inc.
NYSE:CSAN|Cosan S.A.
NASDAQ:CSGS|CSG Systems International, Inc.
NYSE:CSTM|Constellium SE
NYSE:CTRE|CareTrust REIT, Inc.
NYSE:CTRI|Centuri Holdings, Inc.
NYSE:CUBE|CubeSmart
NYSE:CUBI|Customers Bancorp, Inc.
NYSE:CURB|Curbline Properties Corp.
NYSE:CUZ|Cousins Properties Incorporated
NASDAQ:CVBF|CVB Financial Corp.
NYSE:CVI|CVR Energy, Inc.
NASDAQ:CVLT|Commvault Systems, Inc.
NYSE:CWAN|Clearwater Analytics Holdings, Inc.
NYSE:CWEN|Clearway Energy, Inc.
NYSE:CWK|Cushman & Wakefield Limited
NASDAQ:CWST|Casella Waste Systems, Inc.
NYSE:CWT|California Water Service Group
NYSE:CXT|Crane NXT, Co.
NASDAQ:CYTK|Cytokinetics, Incorporated
NASDAQ:CZR|Caesars Entertainment, Inc.
NYSE:DAN|Dana Incorporated
NYSE:DAR|Darling Ingredients Inc.
NASDAQ:DAVE|Dave Inc.
NYSE:DBRG|DigitalBridge Group, Inc.
NASDAQ:DBX|Dropbox, Inc.
NYSE:DHT|DHT Holdings, Inc.
NYSE:DINO|HF Sinclair Corporation
NASDAQ:DIOD|Diodes Incorporated
NASDAQ:DJT|Trump Media & Technology Group Corp.
NYSE:DK|Delek US Holdings, Inc.
NYSE:DLB|Dolby Laboratories, Inc.
NASDAQ:DLO|DLocal Limited
NASDAQ:DNLI|Denali Therapeutics Inc.
AMEX:DNN|Denison Mines Corp.
NYSE:DNOW|DNOW Inc.
NYSE:DNP|DNP Select Income Fund Inc.
NASDAQ:DNTH|Dianthus Therapeutics, Inc.
NYSE:DOCN|DigitalOcean Holdings, Inc.
NYSE:DOCS|Doximity, Inc.
NASDAQ:DOCU|DocuSign, Inc.
NASDAQ:DOX|Amdocs Limited
NYSE:DRD|DRDGOLD Limited
NASDAQ:DRH|DiamondRock Hospitality Company
NASDAQ:DRVN|Driven Brands Holdings Inc.
NASDAQ:DSGX|The Descartes Systems Group Inc.
NASDAQ:DUOL|Duolingo, Inc.
NYSE:DX|Dynex Capital, Inc.
NYSE:DXC|DXC Technology Company
NASDAQ:DYN|Dyne Therapeutics, Inc.
NYSE:EAT|Brinker International, Inc.
NASDAQ:EBC|Eastern Bankshares, Inc.
NYSE:ECG|Everus Construction Group, Inc.
NYSE:EDU|New Oriental Education & Technology Group Inc.
NYSE:EE|Excelerate Energy, Inc.
NASDAQ:EEFT|Euronet Worldwide, Inc.
NYSE:EFXT|Enerflex Ltd.
NYSE:EGO|Eldorado Gold Corporation
NYSE:ELF|e.l.f. Beauty, Inc.
NYSE:EMN|Eastman Chemical Company
NYSE:ENIC|Enel Chile S.A.
NASDAQ:ENPH|Enphase Energy, Inc.
NYSE:ENS|EnerSys
NYSE:ENVA|Enova International, Inc.
NASDAQ:EOSE|Eos Energy Enterprises, Inc.
NYSE:EPAC|Enerpac Tool Group Corp.
NYSE:EPAM|EPAM Systems, Inc.
NYSE:EPR|EPR Properties
NYSE:EPRT|Essential Properties Realty Trust, Inc.
NASDAQ:ERAS|Erasca, Inc.
NYSE:ERO|Ero Copper Corp.
NYSE:ESAB|ESAB Corporation
NYSE:ESI|Element Solutions Inc
NYSE:ESNT|Essent Group Ltd.
NASDAQ:ESTA|Establishment Labs Holdings Inc.
NYSE:ESTC|Elastic N.V.
NASDAQ:ETOR|eToro Group Ltd.
NYSE:ETSY|Etsy, Inc.
NASDAQ:EWTX|Edgewise Therapeutics, Inc.
NYSE:EXG|Eaton Vance Tax-Managed Global Diversified Equity Income Fund
NYSE:EXK|Endeavour Silver Corp.
NASDAQ:EXLS|ExlService Holdings, Inc.
NYSE:EXP|Eagle Materials Inc.
NASDAQ:EXPO|Exponent, Inc.
NASDAQ:EYE|National Vision Holdings, Inc.
NYSE:FAF|First American Financial Corporation
NYSE:FBIN|Fortune Brands Innovations, Inc.
NYSE:FBP|First BanCorp.
NYSE:FCPT|Four Corners Property Trust, Inc.
NYSE:FDS|FactSet Research Systems Inc.
NASDAQ:FELE|Franklin Electric Co., Inc.
NASDAQ:FFBC|First Financial Bancorp.
NASDAQ:FFIN|First Financial Bankshares, Inc.
NYSE:FG|F&G Annuities & Life, Inc.
NASDAQ:FHB|First Hawaiian, Inc.
NYSE:FHI|Federated Hermes, Inc.
NASDAQ:FIBK|First Interstate BancSystem, Inc.
NASDAQ:FIGR|Figure Technology Solutions, Inc.
NYSE:FIHL|Fidelis Insurance Holdings Ltd
NYSE:FLG|Flagstar Bank, National Association
NASDAQ:FLNC|Fluence Energy, Inc.
NYSE:FLO|Flowers Foods, Inc.
NYSE:FLR|Fluor Corporation
NASDAQ:FLY|Firefly Aerospace Inc.
NYSE:FNB|F.N.B. Corporation
NYSE:FND|Floor & Decor Holdings, Inc.
NASDAQ:FOLD|Amicus Therapeutics Inc
NASDAQ:FORM|FormFactor, Inc.
NYSE:FOUR|Shift4 Payments, Inc.
NYSE:FR|First Industrial Realty Trust, Inc.
NASDAQ:FRME|First Merchants Corporation
NASDAQ:FRMI|Fermi Inc.
NYSE:FRO|Frontline plc
NASDAQ:FROG|JFrog Ltd.
NASDAQ:FRPT|Freshpet, Inc.
NASDAQ:FRSH|Freshworks Inc.
NYSE:FRT|Federal Realty Investment Trust
NYSE:FSK|FS KKR Capital Corp.
NASDAQ:FSLY|Fastly, Inc.
NYSE:FSM|Fortuna Mining Corp.
NYSE:FSS|Federal Signal Corporation
NASDAQ:FTDR|Frontdoor, Inc.
NYSE:FUL|H.B. Fuller Company
NASDAQ:FULT|Fulton Financial Corporation
NYSE:G|Genpact Limited
NYSE:GBCI|Glacier Bancorp, Inc.
NASDAQ:GBDC|Golub Capital BDC, Inc.
NYSE:GBTG|Global Business Travel Group, Inc.
NASDAQ:GCMG|GCM Grosvenor Inc.
NASDAQ:GDS|GDS Holdings Limited
NYSE:GFF|Griffon Corporation
NASDAQ:GGAL|Grupo Financiero Galicia S.A.
NYSE:GGB|Gerdau S.A.
NYSE:GKOS|Glaukos Corporation
NASDAQ:GLBE|Global-E Online Ltd.
NASDAQ:GLNG|Golar LNG Limited
NYSE:GLOB|Globant S.A.
NASDAQ:GLXY|Galaxy Digital
NYSE:GNL|Global Net Lease, Inc.
NASDAQ:GNTX|Gentex Corporation
NYSE:GNW|Genworth Financial, Inc.
NYSE:GOLF|Acushnet Holdings Corp.
NASDAQ:GPCR|Structure Therapeutics Inc.
NYSE:GPGI|GPGI, Inc.
NYSE:GPK|Graphic Packaging Holding Company
NASDAQ:GRFS|Grifols, S.A.
NYSE:GRND|Grindr Inc.
NASDAQ:GSAT|Globalstar, Inc.
NASDAQ:GT|The Goodyear Tire & Rubber Company
NYSE:GTES|Gates Industrial Corporation plc
NASDAQ:GTLB|GitLab Inc.
NYSE:GTLS|Chart Industries, Inc.
NASDAQ:GTX|Garrett Motion Inc.
NYSE:GVA|Granite Construction Incorporated
NYSE:GXO|GXO Logistics, Inc.
NYSE:HAE|Haemonetics Corporation
NYSE:HAFN|Hafnia Limited
NASDAQ:HALO|Halozyme Therapeutics, Inc.
NYSE:HASI|HA Sustainable Infrastructure Capital, Inc.
NYSE:HAYW|Hayward Holdings, Inc.
NYSE:HBM|Hudbay Minerals Inc.
NYSE:HCC|Warrior Met Coal, Inc.
NYSE:HE|Hawaiian Electric Industries, Inc.
NYSE:HESM|Hess Midstream LP
NYSE:HG|Hamilton Insurance Group, Ltd.
NYSE:HGV|Hilton Grand Vacations Inc.
NYSE:HHH|Howard Hughes Holdings Inc.
NYSE:HIMS|Hims & Hers Health, Inc.
NYSE:HIW|Highwoods Properties, Inc.
NYSE:HLF|Herbalife Ltd.
NYSE:HLIO|Helios Technologies, Inc.
NASDAQ:HLNE|Hamilton Lane Incorporated
NYSE:HNGE|Hinge Health, Inc.
NYSE:HNI|HNI Corporation
NYSE:HOG|Harley-Davidson, Inc.
NYSE:HOMB|Home BancShares, Inc.
NYSE:HP|Helmerich & Payne, Inc.
NASDAQ:HQY|HealthEquity, Inc.
NYSE:HR|Healthcare Realty Trust Incorporated
NYSE:HRB|H&R Block, Inc.
NYSE:HRI|Herc Holdings Inc.
NASDAQ:HSAI|Hesai Group
NASDAQ:HSIC|Henry Schein, Inc.
NASDAQ:HTFL|Heartflow, Inc.
NYSE:HTGC|Hercules Capital, Inc.
NYSE:HTH|Hilltop Holdings Inc.
NASDAQ:HUBG|Hub Group, Inc.
NYSE:HUN|Huntsman Corporation
NASDAQ:HURN|Huron Consulting Group Inc.
NASDAQ:HUT|Hut 8 Corp.
NASDAQ:HWC|Hancock Whitney Corporation
NYSE:HXL|Hexcel Corporation
NASDAQ:HYMC|Hycroft Mining Holding Corporation
NASDAQ:IAC|IAC Inc.
NYSE:IBP|Installed Building Products, Inc.
NASDAQ:IBRX|ImmunityBio, Inc.
NYSE:ICL|ICL Group Ltd
NASDAQ:ICLR|ICON Public Limited Company
NYSE:IDA|IDACORP, Inc.
NASDAQ:IDYA|IDEAYA Biosciences, Inc.
AMEX:IE|Ivanhoe Electric Inc.
NASDAQ:IEP|Icahn Enterprises L.P.
NYSE:IHS|IHS Holding Limited
NYSE:IMAX|IMAX Corporation
NASDAQ:IMNM|Immunome, Inc.
NASDAQ:IMVT|Immunovant, Inc.
NASDAQ:INDB|Independent Bank Corp.
NASDAQ:INDV|Indivior Pharmaceuticals, Inc.
NYSE:INGM|Ingram Micro Holding Corporation
NYSE:INGR|Ingredion Incorporated
NYSE:INSW|International Seaways, Inc.
NASDAQ:INTR|Inter & Co, Inc.
NASDAQ:IPGP|IPG Photonics Corporation
NASDAQ:IRDM|Iridium Communications Inc.
NASDAQ:IRON|Disc Medicine, Inc.
NYSE:IRT|Independence Realty Trust, Inc.
NASDAQ:IRTC|iRhythm Holdings, Inc.
NYSE:ITGR|Integer Holdings Corporation
NASDAQ:ITRI|Itron, Inc.
NYSE:IVT|InvenTrust Properties Corp.
NASDAQ:JBLU|JetBlue Airways Corporation
NYSE:JBTM|JBT Marel Corporation
NYSE:JHG|Janus Henderson Group plc
NYSE:JOBY|Joby Aviation, Inc.
NASDAQ:JOYY|JOYY Inc.
NYSE:JPC|Nuveen Preferred & Income Opportunities Fund
NYSE:JXN|Jackson Financial Inc.
NYSE:KBH|KB Home
NYSE:KBR|KBR, Inc.
NASDAQ:KC|Kingsoft Cloud Holdings Limited
NYSE:KD|Kyndryl Holdings, Inc.
NYSE:KEX|Kirby Corporation
NYSE:KFY|Korn Ferry
NYSE:KGS|Kodiak Gas Services, Inc.
NYSE:KLAR|Klarna Group plc
NASDAQ:KLIC|Kulicke and Soffa Industries, Inc.
NYSE:KMT|Kennametal Inc.
NYSE:KMX|CarMax, Inc.
NYSE:KN|Knowles Corporation
NYSE:KNF|Knife River Corporation
NASDAQ:KNSA|Kiniksa Pharmaceuticals International, plc
NYSE:KNTK|Kinetik Holdings Inc.
NYSE:KRC|Kilroy Realty Corporation
NYSE:KRG|Kite Realty Group Trust
NASDAQ:KRYS|Krystal Biotech, Inc.
